createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2019-06-27,2958026496,个性化特供,0,7060354092,再喝一杯烈酒，然后忘了那女孩,560135
2020-05-17,898981922,旅途,0,7567649112,古风精选丨待花开之时再醉一回,13305673
2020-11-14,1924797443,晚乔,0,7728190368,能遇见你，是银河慷慨赠予我糖～,82915
2018-02-12,2797356293,河清净,0,1767321860,〖爆燃BGM〗引领队友走向胜利,12988543
2020-02-25,1498030674,星野一,2,7444822840,舒缓轻音 · 深夜入睡宝典,9047643
2020-08-25,3174948857,留恋夕阳与她,0,7691155409,高甜预警 | 你的奶瓶盖我承包了 ,206295
2018-04-07,1747907171,鹿仁,2,3811422464,静思音乐 | 清心凝神的日式纯音,21303841
2019-07-07,1924013694,颜词,2,7081701069,沉浸字符间：学习专用纯音,17766417
2020-08-19,2722411508,说唱专区官方账号,0,7683803627,Rich Brian | 宝藏说唱男孩,1306181
2018-06-15,2174875328,Kobayashi,2,4163453012,静心时刻：学习专用纯音,10969459
2020-10-13,2635732555,神仙妹妹.,0,7747870306,说唱｜甜度爆表的旋律说唱,149915
2020-07-07,2446523656,幻菱,0,7401064131,【沉迷学习】轻音乐的舒缓享受,11176582
2020-08-19,1131072037,许奕辰,0,7683698159,古风圈的那些入坑神曲，了解一下,2276997
2020-07-31,2747980541,♡,0,3749804459,丧: 你的声音是治愈我的最好频率,3343673
2017-09-30,374763385,书童,2,2342784507,绝对典藏！400首欧美动感热曲全收录,116743253
2019-10-12,2686694837,再来一杯浓茶,2,7228611133,《蒙面唱将猜猜猜》Live精选辑,2276146
2020-11-11,2248456253,Sy.雨轩,0,7776890034,一人成名曲：记忆深处动听的旋律,1341050
2018-10-24,3308359265,古风圈里没有我,2,5275391892,失眠疗养所 : 300首催眠纯音,49857179
2016-10-20,1798583988,喜欢i,1,3147048266,让人释然的轻音乐（久石让）,8583757
2017-09-28,1185847270,汤圆儿,2,885955294,舒缓旋律，看书听歌两不误,1234848
