,createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
133,2020-08-03,1152921504872162361,长街孤酒,0,7520963094,一曲惊鸿梦.古风醉人间,3709036
134,2020-08-05,3235957840,聆听,0,7664975759,温柔男音：是人间烟火亦是宝藏,1205228
135,2018-02-28,1262773020,𓅯存在𓆡,0,658033106,你已不在身边，我却彻夜想念,2040353
136,2020-03-11,3422928760,刚上完网课,0,7461724996,纯音 │ 放空心灵，回归自然之感,375452
137,2020-10-06,2378187899,识趣.,0,6871787164,[电竞] 打野 射手必须听的战歌,3854843
138,2020-09-10,1714547601,鹿桉.,0,7711339742,丧感片段｜还没开始就结束了曆,2141656
139,2020-04-15,1725067421,林夕,2,7514171023,古风女嗓 | 怎敌你眉间一朱砂,3943282
140,2020-08-31,283319545,清言寡语 ¸,0,7242168276,热歌：何以解忧愁，唯有蹦迪摇头,14637591
141,2017-05-22,728180304,安逸风丶昂小白ゞ,2,2054255153,100首Spotify排行榜推荐欧美歌曲,22414319
142,2020-09-12,497697572,柠檬少年,0,7713821833,枪声版丨吃鸡神器，音乐带你刚,197592
143,2020-10-13,406453542,小妖的破皇冠,0,7710773647,国语 | 听着歌 远离喧嚣和寂寞,3623691
144,2020-10-08,2747980541,♡,0,7742719665,片段：难不难过都是自己过.,726279
145,2020-02-28,3471611867,蜜桃果酱,0,7447798892,没什么事做，满脑子都是你,785278
146,2017-12-04,1812948313,私に闻いて风i,2,1789636404,站内评论999+超热日语精选,54020897
147,2017-07-27,2563666097,醉心琳琅,2,2970622459,300首欧美乐坛典藏精品：首首火遍全球,99034920
148,2018-09-14,3239619075,歌单狂魔,2,4580773716,站内弹幕9999+欧美歌曲,149709779
149,2020-09-10,910801164,偏见.,0,7710032313,优质片段 | 入耳即沦陷的宝藏歌,2604554
150,2020-11-19,2490598732,望渔楼主（歌单狂妹）,0,7778278548,中文翻唱｜优秀与温柔共存,626307
151,2020-06-18,1446887291,Addictedtomusic,0,7605521080,国语｜有些人 一转身就成了永远,12851775
152,2020-10-30,3429084452,自由摇摆节奏,0,7715823988,玉置浩二：“殿堂级”情歌天王,76911
153,2017-01-31,1165584850,Eyes,2,850420414,［超好听英语系强势来袭］绝不辜负耳朵,27685517
154,2020-04-26,994067892,醉挽清风＆,0,7466539716,古韵：唯愿诗意满人间,12741081
155,2020-07-15,1841393394,妖小柔,0,7639031610,国风｜少年义气，破冰斩千尘,665202
156,2020-09-18,2812190571,Cc,0,7457577258,片段 | 忙碌的生活也是一种乐趣,264985
157,2019-01-30,2630637570,绯离,0,6555496668,做我的猫 | 乖一点就抱你,3340539
158,2020-09-20,1152921504878700015,记得吃曜.,0,6878296713,霸气外漏 | 超拽背景音乐,106640
159,2020-03-09,2822129197,栖时,2,7264427386,待雪下时叙酣宴，请君饮杯霁夜茶,43496
160,2020-08-31,1752319892,仙晚,0,7693153852,轻柔小众 | 愿你遇见所有的甜,183726
161,2020-07-18,1587895789,🍃不朽ゞ,0,7642695693,【古风】人间恰似你的温柔,1315245
162,2019-09-30,1534433626,温柔,2,6255377857,吃鸡战歌 : 音乐响起 落地成王,7702606
163,2020-09-22,695636314,玄冬Bw,2,7723138577,国创之光！值得一看的国风动画,301735
164,2017-09-01,3050275225,温酒伴月落,2,2380029102,YouTube最快达到9亿点击量歌曲TOP 50,3568187
165,2020-07-31,1924768924,独醉,0,7658004977,『中文丧系歌曲』放飞心情吧！,3659
166,2020-04-25,739620118,安与.,0,7537817618,古风清灵女声 l 故人泪,8846185
167,2020-08-09,1152921504842294771,走心了吗,0,7670780780,『欧美』沁入人心的安静旋律,2045614
168,2020-03-10,2282114278,请君为我倾耳听,0,7467921385,精选免费下载的国风好歌,10685910
169,2020-09-28,2933328894,梦追,0,7717078709,劲爆 | 疲乏无感，嗨曲调调赶走,1243102
170,2017-10-16,406893292,∮星￠草∮,0,1480298267,JOJO的奇妙冒险OPED合集（新增五部OPED2）,7770169
171,2020-09-25,1562596275,风筝从云里来,0,7726401548,粤语经典丨时光沉淀的旋律,6762933
172,2019-11-09,3451226023,斤,0,4240872267,「王者战歌」上分必备的超燃电音,16582383
173,2019-09-04,1808739114,AmroJie,0,7123372894,欧美:珍藏佳作 唤醒沉睡的耳朵,23111114
174,2020-08-18,1825869086,麻辣烫不要麻不要辣,0,7682122587,白小白：不念过往，不问归期,2463141
175,2020-07-10,1810637814,颜。,0,7633087213,【伤感歌单】听着听着就哭了,4787791
176,2020-05-21,498877906,狗贼,0,7572021700,站内收藏999+的两百首古风集,11929351
177,2017-08-10,2845491591,一点绿,2,1169467887,「80后记忆」那些年少时光的华语经典,65907509
178,2020-08-06,3054828396,ㅤ,0,7666338940,粤语经典：一起走过的友情岁月,10079294
179,2017-01-02,745468154,CAI,1,1971999922,睡前舒心纯音乐哄君入眠,24673215
180,2020-03-19,2241889895,周森,0,7482171878,DJ舞曲 · 就问你上头不上头,9609683
181,2020-07-20,1152921504793276628,越夜粤冷,0,7644627036,90后粤语：越成长越懂歌词,2674318
182,2016-10-20,449218160,933。,2,771161642,100首经典粤语 回不去的青春,80835323
183,2018-03-22,1214673117,小攀哟,2,3790000614,欧美精选：动感节奏，治瘾旋律,26687637
184,2020-03-08,1152921504819784901,Happy.,0,6949707670,下班来劲 | 来首电子，抛开烦恼,7376217
185,2020-08-26,746503843,♪森❀森♪,0,7691838312,耳机分你一个，想和你开启好心情,11997994
186,2016-11-03,1258496502,青蛙王子泡泡糖。,0,1437721458,让人情不自禁的英文歌,64021471
187,2020-03-10,2366812118,幸福的小麻花,2,7467921346,最懂你的心：免费下载这些情歌,17470077
188,2020-02-06,2394516058,𝓐𝓾𝓻𝓸𝓻𝓪🌌,0,7414316444,『极致欧美神曲』为生活注入色彩,2260056
189,2020-03-08,2060774762,考官001,0,6960007429,『原耽』晋江同人猫耳FM广播剧,1199142
190,2020-09-12,847303805,北星.,0,7713265613,人气爆棚 | 入耳即沦陷的温柔音,1849916
191,2020-07-12,2779690389,暮岁十三,0,7635706958,等君归兮 | 等什么君的神仙嗓音,17323778
192,2020-08-19,2937505134,准点星辰.,0,7456827936,古风院：恰似惊鸿落人间.,2612228
193,2020-11-14,3510023506,仄言．,0,7780457991,伤感翻唱：只是一厢情愿罢了,399805
194,2020-06-08,1540287390,大众流行带你飞,0,7593039384,海来阿木：999+评论里都是故事,8091571
195,2020-07-05,972508083,看好你的电动车,0,4216387623,华语流行音乐8090KTV必点金曲,6976820
196,2020-10-15,2235903855,Monotone,0,7749234780,伤感片段｜失去笑意成为一人,1126999
197,2020-09-03,2792808460,星语,0,7703132678,甜到爆表：专属你的小甜心,6169642
198,2020-10-03,3427724427,北川同学,0,7731828332,伤感 | 比悲伤更悲伤的是空欢喜,10890859
199,2020-04-20,3521089778,墨九,0,7528887735,DJ宣泄向 | 忘掉所有不愉快,8734705
200,2020-05-11,1152921504753650915,like...,0,7534277656,KTV热门点播，看谁是麦霸,4954736
201,2020-11-07,1522531377,PC12138,0,7774205706,典藏经典丨一人一首华语金曲大赏,738186
202,2020-08-04,2303204713,蓝莓 Cake,0,7663976060,华语伤感：我们真的回不去从前了,1633700
203,2020-02-19,1743959209,李呀,0,7434763564,华语怀旧 | 那些我们怀念的岁月,33120227
204,2020-10-13,3427724427,北川同学,0,7746458142,华语伤感 | 回忆回不去的记忆,2369697
205,2016-12-13,945187827,念安娜,2,2940304754,王菲：千言万语，不如幻乐一场,12140430
206,2020-10-09,1249522308,梵高先生,0,7743630978,经典粤语｜追逐时代里的浪潮,2392742
207,2020-05-10,1873182795,尔听°,0,7558452068,伤感歌单｜好想能够暂时忘记,16543815
208,2019-10-27,848155951,下次一定,0,6944750120,节奏控 丨 俘获你耳朵的英文歌,17247259
209,2020-07-19,201864118,芋泥啵啵奶茶,0,7643583752,神仙日语歌｜超治愈，猛女必备,2095617
210,2020-01-19,2399077390,恋恋风声,0,7380162076,海来阿木 | 一定要为自己写首歌,6324051
211,2018-08-13,1961769567,墨香,2,2972980860,粤语老歌 │ 重拾港味金曲,10969158
212,2017-08-10,3440241624,青栀,2,2067204084,「经典」回忆港澳电影粤语原声集,19624340
213,2020-04-02,2749180238,违规女孩,0,7503734031,周深 | 温柔嗓音，清澈空灵,14563337
